"paper.id","meta.analysis.paper","meta.analysis.id","meta.analysis.year","study","study.year","eff.size.measure","grouped_es","eff.size","var.eff.size","se.eff.size","z","key","study2","dup"
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts37",1992,"z.r","Zr",-0.453778526,0.041666667,0.204124146048428,-2.22305168097233,"7_munguia-rosas.et.al.2011.ecoletts37_1992","munguiarosasetal2011ecoletts37_1992",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts60",1992,"z.r","Zr",0.058527064,0.006060606,0.0778498940269028,0.751793752985388,"7_munguia-rosas.et.al.2011.ecoletts60_1992","munguiarosasetal2011ecoletts60_1992",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts20",1993,"z.r","Zr",0.263964597,0.010309278,0.101534614787273,2.59974982475716,"7_munguia-rosas.et.al.2011.ecoletts20_1993","munguiarosasetal2011ecoletts20_1993",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts23",1993,"z.r","Zr",-0.639280402,0.014492754,0.120385854650785,-5.31026177331566,"7_munguia-rosas.et.al.2011.ecoletts23_1993","munguiarosasetal2011ecoletts23_1993",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts17",1994,"z.r","Zr",0.249135073,0.003496503,0.0591312354005901,4.21325668764082,"7_munguia-rosas.et.al.2011.ecoletts17_1994","munguiarosasetal2011ecoletts17_1994",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts21",1994,"z.r","Zr",-0.063270303,0.00862069,0.0928476709454793,-0.681442004475833,"7_munguia-rosas.et.al.2011.ecoletts21_1994","munguiarosasetal2011ecoletts21_1994",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts26",1995,"z.r","Zr",0.050749277,0.014084507,0.118678165641368,0.427621009523846,"7_munguia-rosas.et.al.2011.ecoletts26_1995","munguiarosasetal2011ecoletts26_1995",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts73",1995,"z.r","Zr",0.853704817,0.2,0.447213595499958,1.90894200353102,"7_munguia-rosas.et.al.2011.ecoletts73_1995","munguiarosasetal2011ecoletts73_1995",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts50",1996,"z.r","Zr",-0.497311288,0.001893939,0.0435194094629052,-11.42734458343,"7_munguia-rosas.et.al.2011.ecoletts50_1996","munguiarosasetal2011ecoletts50_1996",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts51",1996,"z.r","Zr",0.120581028,0.018867925,0.137360565665696,0.877843123429372,"7_munguia-rosas.et.al.2011.ecoletts51_1996","munguiarosasetal2011ecoletts51_1996",FALSE
